name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,1.4714714714714713e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4814814814814814e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4914914914914915e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5015015015015015e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5115115115115116e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5215215215215216e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5315315315315314e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5415415415415415e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5515515515515516e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5615615615615616e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5715715715715717e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5815815815815815e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.5915915915915915e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6016016016016016e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6116116116116116e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6216216216216217e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6316316316316315e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6416416416416416e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6516516516516516e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6616616616616617e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6716716716716717e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6816816816816815e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.6916916916916916e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.7017017017017017e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.7117117117117117e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.7217217217217218e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
